Date,Borough,AllAgeTotalCOunt,AllAgeTotalRatio,Age0to4Count,Age0to4Ratio,Age5to17Count,Age5to17Ratio,Age18to64Count,Age18to64Ratio,Age65plusCount,Age65plusRatio
1/22/06,Queens,61,0.054659498,32,0.363636364,23,0.196581197,5,0.006613757,1,0.006451613
1/22/06,Staten Island,1,0.002538071,1,0.033333333,0,0,0,0,0,0
1/22/06,Unknown,7,0.021671827,2,0.117647059,2,0.058823529,3,0.012711864,0,0
1/23/06,Bronx,78,0.03427065,19,0.158333333,38,0.143939394,19,0.01212508,2,0.006153846
1/23/06,Brooklyn,57,0.033989267,20,0.198019802,24,0.095238095,12,0.010247652,1,0.006535948
1/23/06,Manhattan,55,0.038194444,10,0.153846154,23,0.150326797,20,0.019569472,2,0.01
1/23/06,Queens,77,0.054225352,32,0.415584416,23,0.127071823,21,0.021363174,1,0.005586592
1/23/06,Staten Island,7,0.015317287,3,0.057692308,4,0.064516129,0,0,0,0
1/23/06,Unknown,9,0.023136247,3,0.166666667,3,0.103448276,3,0.009966777,0,0
1/24/06,Bronx,95,0.040948276,38,0.273381295,24,0.091254753,29,0.018577835,4,0.011204482
1/24/06,Brooklyn,60,0.036363636,21,0.21,15,0.067873303,21,0.017766498,3,0.020408163
1/24/06,Manhattan,68,0.050670641,19,0.431818182,28,0.195804196,19,0.019709544,2,0.010471204
1/24/06,Queens,67,0.048375451,23,0.280487805,32,0.220689655,11,0.011482255,1,0.005
1/24/06,Staten Island,8,0.019704434,4,0.086956522,3,0.068181818,1,0.003921569,0,0
1/24/06,Unknown,4,0.010752688,1,0.071428571,0,0,2,0.006802721,1,0.028571429
1/25/06,Bronx,70,0.032603633,22,0.176,22,0.085603113,23,0.015905947,3,0.009404389
1/25/06,Brooklyn,61,0.040693796,29,0.261261261,10,0.046728972,21,0.020487805,1,0.006711409
1/25/06,Manhattan,48,0.03587444,12,0.226415094,13,0.082802548,22,0.023681378,1,0.005025126
1/25/06,Queens,71,0.052670623,24,0.324324324,29,0.207142857,17,0.018240343,1,0.004950495
1/25/06,Staten Island,9,0.020044543,1,0.035714286,5,0.078125,2,0.006944444,1,0.014492754
1/25/06,Unknown,6,0.017595308,0,0,1,0.027777778,4,0.015444015,1,0.03125
1/26/06,Bronx,84,0.041055719,32,0.296296296,16,0.072072072,33,0.023093072,3,0.010489511
1/26/06,Brooklyn,69,0.046811398,25,0.235849057,26,0.136842105,17,0.01625239,1,0.007575758
1/26/06,Manhattan,58,0.046178344,14,0.318181818,19,0.130136986,20,0.023068051,5,0.025125628
1/26/06,Queens,71,0.058872305,30,0.428571429,23,0.175572519,17,0.020214031,1,0.006097561
1/26/06,Staten Island,7,0.018181818,4,0.133333333,1,0.020833333,2,0.008333333,0,0
